status,title,total_price,price,admin_fee,layout,area,nearest_station,walk_minutes,walking_distance_actual,address,access,url,last_updated,source
active,JPnoie門前仲町,13.7,12.5,1.2,1DK,25.15,門前仲町駅,5,7.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
東京メトロ有楽町線/月島駅 歩13分",https://suumo.jp/chintai/jnc_000101728841/?bc=100462643918,2025-12-06 10:59:08,SUUMO
active,JPnoie門前仲町,14.2,13.0,1.2,1DK,25.15,門前仲町駅,5,7.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
東京メトロ有楽町線/月島駅 歩13分",https://suumo.jp/chintai/jnc_000102386381/?bc=100469147728,2025-12-06 10:59:08,SUUMO
active,グラシア　プレイス　東陽町,13.4,11.9,1.5,1DK,25.33,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
ＪＲ京葉線/潮見駅 歩28分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101952938/?bc=100468821401,2025-12-06 10:59:08,SUUMO
active,グラシア　プレイス　東陽町,13.5,12.0,1.5,1DK,25.59,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
ＪＲ京葉線/潮見駅 歩28分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101186098/?bc=100461127225,2025-12-07 23:17:25,SUUMO
active,SYFORME MONZEN-NAKACHO,13.15,12.15,1.0,1DK,25.66,門前仲町駅,5,6.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000102324194/?bc=100469198510,2025-12-06 10:59:08,SUUMO
active,SYFORME MONZEN-NAKACHO,13.4,12.4,1.0,1DK,28.2,門前仲町駅,5,6.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000102799302/?bc=100472566335,2025-12-06 10:59:08,SUUMO
active,SYFORME MONZEN-NAKACHO,15.0,13.0,2.0,1DK,28.2,門前仲町駅,5,6.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000100680855/?bc=100468190935,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.4,12.2,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000102932465/?bc=100476474719,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000103057491/?bc=100474615774,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000103294444/?bc=100476486571,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000103306973/?bc=100476504787,2025-12-07 03:47:36,SUUMO
active,シティフォレスト森下,12.5,12.5,0.0,1DK,25.37,菊川駅,6,7.0,東京都江東区森下３,"都営新宿線/菊川駅 歩6分
都営新宿線/森下駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩11分",https://suumo.jp/chintai/jnc_000100496259/?bc=100468564787,2025-12-06 10:59:08,SUUMO
active,シティフォレスト森下,12.7,12.7,0.0,1DK,25.37,菊川駅,6,7.0,東京都江東区森下３,"都営新宿線/菊川駅 歩6分
都営新宿線/森下駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩11分",https://suumo.jp/chintai/jnc_000100496262/?bc=100473686378,2025-12-06 10:59:08,SUUMO
active,コスモグラシア清澄白河,12.6,12.0,0.6,1DK,32.3,清澄白河駅,6,6.0,東京都江東区平野２,"都営大江戸線/清澄白河駅 歩6分
東京メトロ東西線/門前仲町駅 歩13分
都営新宿線/菊川駅 歩17分",https://suumo.jp/chintai/jnc_000102679114/?bc=100471753683,2025-12-07 03:47:36,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000102853961/?bc=100473442804,2025-12-06 10:59:08,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.2,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000100594758/?bc=100452784176,2025-12-06 10:59:08,SUUMO
active,アーバネックス深川木場,14.0,13.0,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000101601917/?bc=100462119919,2025-12-06 10:59:08,SUUMO
active,クオリタス門前仲町,13.4,11.9,1.5,1DK,25.3,門前仲町駅,7,7.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩7分
東京メトロ東西線/木場駅 歩12分
東京メトロ半蔵門線/清澄白河駅 歩15分",https://suumo.jp/chintai/jnc_000102493229/?bc=100470110799,2025-12-06 10:59:08,SUUMO
